"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.11.2021","920.57","909.56","922.89","907.43","50.17M","1.50%"
"26.11.2021","906.95","919.53","921.73","905.18","26.63M","-1.72%"
"24.11.2021","922.85","922.95","925.31","917.64","32.70M","0.02%"
"23.11.2021","922.66","921.78","928.57","917.56","37.04M","0.13%"
"22.11.2021","921.50","914.22","926.19","912.25","45.75M","0.78%"
"19.11.2021","914.39","908.77","916.53","907.55","49.01M","0.66%"
"18.11.2021","908.40","911.90","912.98","905.82","37.93M","-0.43%"
"17.11.2021","912.34","912.56","913.23","905.25","42.82M","-0.10%"
"16.11.2021","913.25","919.82","920.80","912.85","40.95M","-0.69%"
"15.11.2021","919.61","910.07","919.79","909.82","36.00M","1.25%"
"12.11.2021","908.29","910.59","910.59","904.19","42.57M","-0.22%"
"11.11.2021","910.26","917.74","918.15","905.57","40.67M","-0.74%"
"10.11.2021","917.04","910.50","918.12","909.74","40.83M","0.78%"
"09.11.2021","909.94","906.76","912.73","904.35","49.70M","0.32%"
"08.11.2021","907.00","918.49","919.36","902.28","53.39M","-1.27%"
"05.11.2021","918.63","913.25","923.50","912.98","44.73M","0.83%"
"04.11.2021","911.11","912.26","914.71","902.84","51.56M","-0.33%"
"03.11.2021","914.17","918.43","920.20","907.05","45.33M","-0.94%"
"02.11.2021","922.89","922.06","924.81","914.85","47.06M","0.33%"
"01.11.2021","919.82","916.15","921.29","912.92","35.83M","0.43%"
"29.10.2021","915.91","920.81","925.16","911.56","52.85M","-0.57%"
"28.10.2021","921.15","914.45","921.83","913.43","38.96M","0.69%"
"27.10.2021","914.81","923.22","925.48","914.51","37.40M","-0.76%"
"26.10.2021","921.77","918.07","928.89","917.34","41.96M","0.43%"
"25.10.2021","917.78","920.33","924.16","915.27","32.79M","-0.40%"
"22.10.2021","921.43","916.67","923.11","916.25","33.20M","0.65%"
"21.10.2021","915.49","916.80","920.34","914.07","35.98M","-0.07%"
"20.10.2021","916.16","904.17","919.23","904.17","41.40M","1.54%"
"19.10.2021","902.25","894.43","903.18","894.43","37.15M","1.44%"
"18.10.2021","889.48","895.66","895.66","884.85","43.59M","-1.01%"
"15.10.2021","898.54","900.54","904.36","897.36","76.60M","-0.17%"
"14.10.2021","900.09","891.86","901.67","891.50","45.05M","1.12%"
"13.10.2021","890.14","879.12","890.87","875.05","46.30M","1.22%"
"12.10.2021","879.40","875.27","881.92","873.21","47.16M","0.55%"
"11.10.2021","874.63","884.01","884.15","873.63","51.68M","-1.14%"
"08.10.2021","884.70","890.98","892.43","884.00","36.41M","-0.71%"
"07.10.2021","891.02","897.30","904.10","889.78","45.05M","-0.58%"
"06.10.2021","896.25","882.42","896.65","875.97","42.88M","1.37%"
"05.10.2021","884.12","886.84","889.92","882.63","44.18M","-0.18%"
"04.10.2021","885.70","872.22","888.56","872.22","54.26M","1.48%"
"01.10.2021","872.82","878.96","880.87","871.73","49.18M","-0.21%"
"30.09.2021","874.63","884.60","885.74","874.40","56.35M","-0.87%"
"29.09.2021","882.29","870.20","887.70","869.19","44.07M","1.44%"
"28.09.2021","869.74","881.09","882.43","867.90","51.29M","-1.40%"
"27.09.2021","882.07","891.39","899.11","881.11","43.23M","-1.20%"
"24.09.2021","892.80","893.66","898.97","891.22","40.25M","-0.09%"
"23.09.2021","893.61","897.63","904.34","892.63","37.64M","-0.49%"
"22.09.2021","898.05","900.99","905.11","894.67","38.67M","-0.05%"
"21.09.2021","898.49","903.26","910.18","898.27","42.41M","-0.34%"
"20.09.2021","901.54","901.75","909.27","892.41","59.34M","-0.25%"
"17.09.2021","903.80","915.49","920.20","902.95","105.51M","-1.41%"
"16.09.2021","916.73","925.60","929.20","915.39","43.66M","-0.89%"
"15.09.2021","924.96","923.75","930.87","919.37","46.79M","0.03%"
"14.09.2021","924.69","930.33","932.87","922.10","42.06M","-0.28%"
"13.09.2021","927.28","932.92","938.28","924.61","45.18M","-0.20%"
"10.09.2021","929.14","943.82","943.82","928.77","38.98M","-1.58%"
"09.09.2021","944.08","948.04","948.66","943.42","40.33M","-0.53%"
"08.09.2021","949.12","932.45","951.63","929.86","45.01M","1.81%"
"07.09.2021","932.26","944.70","944.70","931.05","47.07M","-1.34%"
"03.09.2021","944.93","950.42","951.47","943.06","35.62M","-0.81%"
"02.09.2021","952.62","946.24","952.76","946.16","35.05M","0.77%"
"01.09.2021","945.37","935.59","948.26","934.98","38.06M","1.18%"
"31.08.2021","934.30","934.66","939.49","930.83","49.56M","-0.09%"
"30.08.2021","935.16","932.91","937.81","930.97","29.49M","0.31%"
"27.08.2021","932.25","932.47","936.13","930.63","36.36M","0.05%"
"26.08.2021","931.77","933.50","934.18","929.32","32.17M","-0.29%"
"25.08.2021","934.45","933.11","937.19","927.74","38.07M","0.13%"
"24.08.2021","933.25","939.44","940.09","927.26","41.65M","-0.66%"
"23.08.2021","939.44","951.23","951.54","937.80","46.07M","-1.19%"
"20.08.2021","950.75","939.12","952.13","933.65","49.05M","1.04%"
"19.08.2021","940.96","937.84","948.58","936.76","44.65M","0.40%"
