"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.11.2021","16,399.24","16,263.30","16,437.16","16,214.56","222.61M","2.33%"
"26.11.2021","16,025.58","16,237.29","16,301.09","15,990.99","187.46M","-2.09%"
"24.11.2021","16,367.81","16,200.23","16,370.56","16,107.02","172.90M","0.37%"
"23.11.2021","16,306.72","16,330.20","16,416.30","16,121.91","213.20M","-0.45%"
"22.11.2021","16,380.98","16,645.64","16,764.72","16,374.78","239.48M","-1.16%"
"19.11.2021","16,573.34","16,559.89","16,625.86","16,524.27","230.01M","0.55%"
"18.11.2021","16,482.97","16,398.10","16,501.77","16,312.86","224.49M","1.07%"
"17.11.2021","16,308.07","16,328.99","16,385.06","16,277.05","182.38M","-0.01%"
"16.11.2021","16,309.77","16,171.08","16,329.50","16,158.75","181.09M","0.75%"
"15.11.2021","16,189.12","16,227.41","16,256.35","16,096.69","164.81M","-0.07%"
"12.11.2021","16,199.88","16,078.79","16,218.30","16,013.05","154.55M","1.04%"
"11.11.2021","16,032.47","16,114.53","16,115.34","16,019.62","144.25M","0.29%"
"10.11.2021","15,985.57","16,085.32","16,224.20","15,905.28","192.08M","-1.44%"
"09.11.2021","16,219.93","16,390.84","16,401.78","16,168.66","202.33M","-0.71%"
"08.11.2021","16,336.03","16,353.72","16,401.93","16,314.18","192.41M","-0.14%"
"05.11.2021","16,359.38","16,396.69","16,454.41","16,302.06","222.73M","0.08%"
"04.11.2021","16,346.24","16,193.41","16,387.69","16,169.56","223.90M","1.25%"
"03.11.2021","16,144.50","16,001.01","16,157.12","15,950.77","176.67M","1.08%"
"02.11.2021","15,972.49","15,888.78","15,988.25","15,878.15","174.77M","0.42%"
"01.11.2021","15,905.28","15,879.78","15,908.65","15,787.73","177.27M","0.35%"
"29.10.2021","15,850.47","15,639.52","15,856.67","15,639.52","210.47M","0.46%"
"28.10.2021","15,778.16","15,676.08","15,783.33","15,650.61","182.37M","1.15%"
"27.10.2021","15,598.39","15,603.32","15,729.49","15,579.38","196.97M","0.25%"
"26.10.2021","15,559.49","15,615.67","15,710.41","15,518.86","194.42M","0.29%"
"25.10.2021","15,514.19","15,416.27","15,554.71","15,339.83","169.72M","1.04%"
"22.10.2021","15,355.07","15,422.05","15,474.28","15,293.00","173.48M","-0.87%"
"21.10.2021","15,489.59","15,366.04","15,497.58","15,352.39","151.69M","0.66%"
"20.10.2021","15,388.71","15,446.93","15,457.00","15,333.87","138.85M","-0.14%"
"19.10.2021","15,410.72","15,350.38","15,414.97","15,320.86","139.38M","0.72%"
"18.10.2021","15,300.89","15,094.17","15,307.45","15,075.26","157.35M","1.02%"
"15.10.2021","15,146.92","15,106.79","15,149.97","15,064.59","201.55M","0.63%"
"14.10.2021","15,052.42","14,926.46","15,059.70","14,901.59","171.30M","1.88%"
"13.10.2021","14,774.60","14,751.59","14,799.25","14,676.58","162.27M","0.77%"
"12.10.2021","14,662.11","14,772.36","14,784.50","14,636.75","174.44M","-0.35%"
"11.10.2021","14,713.73","14,766.25","14,907.27","14,710.36","131.18M","-0.72%"
"08.10.2021","14,820.75","14,944.24","14,947.09","14,805.66","142.70M","-0.51%"
"07.10.2021","14,897.13","14,899.01","15,010.29","14,878.81","168.51M","0.88%"
"06.10.2021","14,766.75","14,530.96","14,775.64","14,500.25","174.15M","0.63%"
"05.10.2021","14,674.14","14,536.37","14,763.35","14,520.97","177.33M","1.40%"
"04.10.2021","14,472.12","14,715.15","14,727.52","14,384.93","223.15M","-2.16%"
"01.10.2021","14,791.87","14,730.83","14,830.62","14,555.42","192.04M","0.70%"
