"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.11.2021","22.96","25.28","25.69","21.71","-","-19.78%"
"26.11.2021","28.62","26.62","28.99","23.88","-","54.04%"
"25.11.2021","18.58","18.58","18.58","18.58","-","0.00%"
"24.11.2021","18.58","19.17","20.96","18.52","-","-4.13%"
"23.11.2021","19.38","20.24","20.91","19.03","-","1.10%"
"22.11.2021","19.17","18.20","19.59","17.35","-","7.04%"
"19.11.2021","17.91","17.36","19.01","17.23","-","1.82%"
"18.11.2021","17.59","16.81","18.15","16.38","-","2.81%"
"17.11.2021","17.11","16.36","17.19","16.28","-","4.52%"
"16.11.2021","16.37","16.86","17.08","16.03","-","-0.73%"
"15.11.2021","16.49","17.03","17.46","16.49","-","1.23%"
"12.11.2021","16.29","17.49","17.69","16.15","-","-7.76%"
"11.11.2021","17.66","18.34","18.39","17.27","-","-5.71%"
"10.11.2021","18.73","17.74","19.90","17.22","-","5.34%"
"09.11.2021","17.78","17.43","18.57","17.21","-","3.25%"
"08.11.2021","17.22","17.23","17.69","16.44","-","4.49%"
"05.11.2021","16.48","15.59","17.02","14.95","-","6.74%"
"04.11.2021","15.44","15.06","16.14","14.73","-","2.25%"
"03.11.2021","15.10","16.11","16.39","14.90","-","-5.80%"
"02.11.2021","16.03","16.54","16.65","15.89","-","-2.32%"
"01.11.2021","16.41","16.85","17.70","16.32","-","0.92%"
"29.10.2021","16.26","17.40","18.06","16.13","-","-1.63%"
"28.10.2021","16.53","17.06","17.16","16.23","-","-2.65%"
"27.10.2021","16.98","15.79","17.29","15.54","-","6.26%"
"26.10.2021","15.98","15.02","16.71","14.90","-","4.86%"
"25.10.2021","15.24","16.14","16.33","15.10","-","-1.23%"
"22.10.2021","15.43","15.35","16.39","14.84","-","2.80%"
"21.10.2021","15.01","16.06","16.11","14.92","-","-3.10%"
"20.10.2021","15.49","15.82","15.89","15.29","-","-1.34%"
"19.10.2021","15.70","16.09","16.31","15.57","-","-3.74%"
"18.10.2021","16.31","17.29","17.93","16.27","-","0.06%"
"15.10.2021","16.30","16.64","16.85","15.72","-","-3.32%"
"14.10.2021","16.86","18.01","18.08","16.80","-","-9.55%"
"13.10.2021","18.64","20.14","20.23","18.44","-","-6.10%"
"12.10.2021","19.85","20.62","20.81","18.97","-","-0.75%"
"11.10.2021","20.00","19.93","20.45","18.11","-","6.55%"
"08.10.2021","18.77","19.46","19.94","18.20","-","-3.94%"
"07.10.2021","19.54","20.54","20.76","19.07","-","-6.95%"
"06.10.2021","21.00","22.95","24.40","20.99","-","-1.41%"
"05.10.2021","21.30","22.92","23.17","20.62","-","-7.23%"
"04.10.2021","22.96","22.90","24.58","21.88","-","8.56%"
"01.10.2021","21.15","24.78","24.89","20.64","-","-8.60%"
"30.09.2021","23.14","21.48","24.71","20.60","-","2.57%"
"29.09.2021","22.56","22.07","23.79","21.45","-","-2.97%"
"28.09.2021","23.25","19.74","24.82","19.71","-","23.93%"
"27.09.2021","18.76","17.78","19.32","17.74","-","5.69%"
"24.09.2021","17.75","19.33","20.41","17.63","-","-4.72%"
"23.09.2021","18.63","19.91","20.21","18.42","-","-10.73%"
"22.09.2021","20.87","22.72","23.40","20.75","-","-14.33%"
"21.09.2021","24.36","23.41","25.60","21.71","-","-5.25%"
"20.09.2021","25.71","24.25","28.79","23.90","-","23.55%"
"17.09.2021","20.81","18.37","21.51","18.35","-","11.34%"
"16.09.2021","18.69","18.41","19.76","17.65","-","2.81%"
"15.09.2021","18.18","19.30","20.27","18.01","-","-6.58%"
"14.09.2021","19.46","19.58","20.47","18.39","-","0.46%"
"13.09.2021","19.37","19.64","21.18","18.76","-","-7.54%"
"10.09.2021","20.95","17.94","21.13","16.99","-","11.44%"
"09.09.2021","18.80","19.44","19.54","17.17","-","4.68%"
"08.09.2021","17.96","18.97","19.64","17.78","-","-0.99%"
"07.09.2021","18.14","16.94","18.39","16.89","-","10.54%"
"03.09.2021","16.41","16.27","17.06","16.08","-","0.00%"
"02.09.2021","16.41","16.27","16.98","15.73","-","1.86%"
"01.09.2021","16.11","16.06","16.71","15.68","-","-2.25%"
"31.08.2021","16.48","15.98","17.07","15.91","-","1.79%"
"30.08.2021","16.19","16.77","16.80","15.98","-","-1.22%"
"27.08.2021","16.39","17.95","18.22","16.11","-","-13.00%"
"26.08.2021","18.84","17.46","19.27","17.16","-","12.21%"
"25.08.2021","16.79","17.42","17.50","16.46","-","-2.50%"
"24.08.2021","17.22","16.96","17.51","16.94","-","0.41%"
"23.08.2021","17.15","18.83","18.95","16.95","-","-7.60%"
"20.08.2021","18.56","22.74","23.90","18.18","-","-14.35%"
"19.08.2021","21.67","23.12","24.74","20.37","-","0.46%"
"18.08.2021","21.57","17.56","21.64","17.31","-","20.44%"
"17.08.2021","17.91","17.31","19.56","16.71","-","11.10%"
"16.08.2021","16.12","17.05","17.71","16.02","-","4.34%"
"13.08.2021","15.45","15.68","15.72","15.19","-","-0.90%"
"12.08.2021","15.59","16.33","16.42","15.49","-","-2.93%"
"11.08.2021","16.06","16.81","17.09","15.87","-","-4.35%"
"10.08.2021","16.79","16.82","17.05","16.34","-","0.42%"
"09.08.2021","16.72","17.12","17.39","16.59","-","3.53%"
"06.08.2021","16.15","17.46","17.50","16.14","-","-6.54%"
"05.08.2021","17.28","17.73","17.84","17.23","-","-3.84%"
"04.08.2021","17.97","18.23","18.90","17.67","-","-0.39%"
"03.08.2021","18.04","19.17","20.44","17.70","-","-7.30%"
"02.08.2021","19.46","18.16","19.87","17.99","-","6.69%"
"30.07.2021","18.24","19.69","19.72","17.53","-","3.05%"
"29.07.2021","17.70","17.91","18.01","17.19","-","-3.33%"
"28.07.2021","18.31","19.41","19.62","17.52","-","-5.42%"
"27.07.2021","19.36","18.62","20.44","18.25","-","10.13%"
"26.07.2021","17.58","18.67","19.39","17.53","-","2.21%"
"23.07.2021","17.20","16.98","17.48","16.33","-","-2.77%"
"22.07.2021","17.69","17.59","18.45","17.40","-","-1.23%"
"21.07.2021","17.91","19.73","19.82","17.81","-","-9.22%"
"20.07.2021","19.73","20.89","22.97","19.37","-","-12.31%"
"19.07.2021","22.50","19.61","25.09","19.27","-","21.95%"
"16.07.2021","18.45","16.80","18.70","16.03","-","8.47%"
"15.07.2021","17.01","16.70","18.09","16.56","-","4.16%"
"14.07.2021","16.33","17.34","17.51","15.95","-","-4.61%"
"13.07.2021","17.12","16.39","17.23","15.94","-","5.88%"
"12.07.2021","16.17","16.85","17.52","16.14","-","-0.06%"
"09.07.2021","16.18","17.88","18.13","16.08","-","-14.84%"
"08.07.2021","19.00","17.74","21.29","17.74","-","17.28%"
"07.07.2021","16.20","16.43","17.64","16.08","-","-1.46%"
"06.07.2021","16.44","15.77","17.94","15.73","-","9.09%"
"02.07.2021","15.07","15.53","15.54","14.25","-","-2.65%"
"01.07.2021","15.48","15.62","16.01","15.31","-","-2.21%"
"30.06.2021","15.83","16.18","17.31","15.58","-","-1.19%"
"29.06.2021","16.02","15.69","16.31","14.10","-","1.65%"
"28.06.2021","15.76","16.07","16.46","15.39","-","0.90%"
"25.06.2021","15.62","16.04","16.17","15.21","-","-2.19%"
"24.06.2021","15.97","15.99","16.05","14.19","-","-2.14%"
"23.06.2021","16.32","16.25","16.84","14.86","-","-2.04%"
"22.06.2021","16.66","17.91","18.32","15.76","-","-6.88%"
"21.06.2021","17.89","21.74","21.82","17.81","-","-13.57%"
"18.06.2021","20.70","16.96","21.04","16.92","-","16.62%"
"17.06.2021","17.75","18.49","19.22","16.71","-","-2.20%"
"16.06.2021","18.15","16.99","19.11","16.42","-","6.64%"
"15.06.2021","17.02","16.27","17.35","16.14","-","3.84%"
"14.06.2021","16.39","16.04","17.04","15.04","-","4.73%"
"11.06.2021","15.65","16.18","16.20","15.15","-","-2.80%"
"10.06.2021","16.10","18.18","18.29","16.01","-","-10.01%"
"09.06.2021","17.89","17.18","17.96","15.55","-","4.80%"
"08.06.2021","17.07","16.58","17.75","15.15","-","3.96%"
"07.06.2021","16.42","17.34","17.35","15.78","-","0.00%"
"04.06.2021","16.42","18.09","18.42","16.18","-","-8.98%"
"03.06.2021","18.04","17.73","19.27","17.45","-","3.20%"
"02.06.2021","17.48","17.86","18.31","16.74","-","-2.35%"
"01.06.2021","17.90","17.24","18.53","15.68","-","6.80%"
"28.05.2021","16.76","16.80","16.86","15.90","-","0.12%"
"27.05.2021","16.74","18.03","18.17","16.52","-","-3.57%"
"26.05.2021","17.36","18.37","18.92","17.35","-","-7.86%"
"25.05.2021","18.84","18.35","19.29","16.87","-","2.39%"
"24.05.2021","18.40","20.50","20.51","18.38","-","-8.68%"
"21.05.2021","20.15","20.42","20.89","19.53","-","-2.52%"
"20.05.2021","20.67","22.33","23.50","20.19","-","-6.81%"
"19.05.2021","22.18","22.46","25.96","21.88","-","3.94%"
"18.05.2021","21.34","18.89","21.45","18.81","-","8.22%"
"17.05.2021","19.72","19.89","21.58","19.67","-","4.84%"
"14.05.2021","18.81","21.77","22.10","18.66","-","-18.68%"
"13.05.2021","23.13","26.03","28.93","22.23","-","-16.17%"
"12.05.2021","27.59","22.42","28.38","21.66","-","26.33%"
"11.05.2021","21.84","21.17","23.73","20.71","-","11.09%"
"10.05.2021","19.66","17.34","19.75","17.07","-","17.80%"
"07.05.2021","16.69","18.45","18.57","16.68","-","-9.24%"
"06.05.2021","18.39","18.41","20.60","18.21","-","-3.97%"
"05.05.2021","19.15","18.84","19.58","17.89","-","-1.69%"
"04.05.2021","19.48","18.16","21.85","18.11","-","6.39%"
"03.05.2021","18.31","18.65","19.12","17.80","-","-1.61%"
"30.04.2021","18.61","17.67","19.25","17.64","-","5.68%"
"29.04.2021","17.61","16.88","18.87","16.77","-","1.91%"
"28.04.2021","17.28","17.47","17.84","16.67","-","-1.59%"
"27.04.2021","17.56","17.62","18.16","16.97","-","-0.45%"
"26.04.2021","17.64","17.94","18.17","16.87","-","1.79%"
"23.04.2021","17.33","18.56","18.78","16.80","-","-7.38%"
"22.04.2021","18.71","17.28","19.90","16.99","-","6.91%"
"21.04.2021","17.50","18.48","19.29","16.91","-","-6.32%"
"20.04.2021","18.68","17.36","19.70","17.24","-","8.04%"
"19.04.2021","17.29","17.04","18.61","16.78","-","6.40%"
"16.04.2021","16.25","16.65","16.88","16.05","-","-1.93%"
"15.04.2021","16.57","16.78","16.92","15.94","-","-2.47%"
"14.04.2021","16.99","16.71","17.69","15.38","-","2.04%"
"13.04.2021","16.65","16.99","17.86","16.43","-","-1.54%"
"12.04.2021","16.91","17.43","17.91","16.81","-","1.32%"
"09.04.2021","16.69","17.05","17.34","16.20","-","-1.53%"
"08.04.2021","16.95","16.92","17.36","16.55","-","-1.22%"
"07.04.2021","17.16","17.99","18.17","16.87","-","-5.30%"
"06.04.2021","18.12","18.07","18.30","17.37","-","1.17%"
"05.04.2021","17.91","18.16","18.40","17.35","-","3.35%"
"02.04.2021","17.33","17.33","17.33","17.33","-","0.00%"
"01.04.2021","17.33","18.60","18.64","17.29","-","-10.67%"
"31.03.2021","19.40","19.80","20.11","18.85","-","-1.07%"
"30.03.2021","19.61","20.76","21.75","19.47","-","-5.45%"
"29.03.2021","20.74","20.40","21.60","19.42","-","9.97%"
"26.03.2021","18.86","19.32","21.49","18.68","-","-4.80%"
"25.03.2021","19.81","20.80","23.55","19.81","-","-6.56%"
"24.03.2021","21.20","20.64","21.49","19.30","-","4.43%"
"23.03.2021","20.30","19.46","21.58","18.80","-","7.52%"
"22.03.2021","18.88","21.91","22.29","18.87","-","-9.88%"
"19.03.2021","20.95","21.43","23.17","19.90","-","-2.92%"
"18.03.2021","21.58","18.95","22.60","18.95","-","12.22%"
"17.03.2021","19.23","20.10","20.95","19.18","-","-2.83%"
"16.03.2021","19.79","20.14","20.31","19.33","-","-1.20%"
"15.03.2021","20.03","21.84","21.86","19.87","-","-3.19%"
"12.03.2021","20.69","22.57","22.99","20.63","-","-5.57%"
"11.03.2021","21.91","22.50","22.50","21.45","-","-2.88%"
"10.03.2021","22.56","23.76","23.87","22.38","-","-6.12%"
"09.03.2021","24.03","25.11","25.25","22.90","-","-5.65%"
"08.03.2021","25.47","27.61","28.39","24.07","-","3.28%"
"05.03.2021","24.66","29.48","30.03","24.33","-","-13.69%"
"04.03.2021","28.57","26.52","31.90","24.93","-","7.12%"
"03.03.2021","26.67","22.80","26.79","22.45","-","10.66%"
"02.03.2021","24.10","23.58","24.60","22.80","-","3.21%"
"01.03.2021","23.35","25.20","25.39","23.17","-","-16.46%"
"26.02.2021","27.95","28.73","30.82","25.23","-","-3.25%"
"25.02.2021","28.89","21.73","31.16","21.52","-","35.38%"
"24.02.2021","21.34","23.76","25.04","21.31","-","-7.66%"
"23.02.2021","23.11","22.82","27.01","22.50","-","-1.45%"
"22.02.2021","23.45","24.46","25.09","21.96","-","6.35%"
"19.02.2021","22.05","23.10","23.19","20.84","-","-1.96%"
"18.02.2021","22.49","21.98","24.23","21.80","-","4.60%"
"17.02.2021","21.50","22.02","23.44","21.09","-","0.19%"
"16.02.2021","21.46","21.13","22.46","20.88","-","7.46%"
"12.02.2021","19.97","21.60","22.45","19.95","-","-6.02%"
"11.02.2021","21.25","22.09","23.25","21.11","-","-3.37%"
"10.02.2021","21.99","21.64","23.85","19.69","-","1.66%"
"09.02.2021","21.63","21.57","22.26","20.65","-","1.84%"
"08.02.2021","21.24","21.89","22.07","21.23","-","1.77%"
"05.02.2021","20.87","21.99","22.16","20.86","-","-4.13%"
"04.02.2021","21.77","23.44","23.44","21.68","-","-4.98%"
"03.02.2021","22.91","24.59","25.43","22.91","-","-10.37%"
"02.02.2021","25.56","28.01","28.08","25.31","-","-15.48%"
"01.02.2021","30.24","31.45","33.96","29.03","-","-8.61%"
"29.01.2021","33.09","35.16","37.51","29.24","-","9.53%"
"28.01.2021","30.21","33.25","36.29","27.39","-","-18.81%"
"27.01.2021","37.21","23.82","37.21","23.71","-","61.64%"
