"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.11.2021","11,903.5","11,838.3","11,960.3","11,831.6","602.77M","0.85%"
"26.11.2021","11,803.3","11,990.3","11,990.3","11,759.1","559.84M","-2.74%"
"24.11.2021","12,136.0","12,133.2","12,149.3","12,084.6","395.54M","-0.10%"
"23.11.2021","12,147.6","12,082.9","12,158.2","12,056.4","518.49M","0.57%"
"22.11.2021","12,079.0","12,026.6","12,183.7","12,026.6","562.75M","0.51%"
"19.11.2021","12,017.5","12,057.8","12,057.8","11,980.2","571.87M","-0.32%"
"18.11.2021","12,056.3","12,079.5","12,089.2","11,970.9","572.82M","-0.25%"
"17.11.2021","12,085.9","12,179.8","12,179.8","12,072.2","475.95M","-0.77%"
"16.11.2021","12,179.3","12,172.7","12,234.0","12,169.6","449.66M","0.02%"
"15.11.2021","12,176.8","12,173.5","12,217.1","12,156.4","384.91M","0.17%"
"12.11.2021","12,156.1","12,122.8","12,182.5","12,118.0","435.95M","0.35%"
"11.11.2021","12,113.3","12,124.4","12,144.8","12,110.7","369.99M","-0.15%"
"10.11.2021","12,131.2","12,180.1","12,203.2","12,102.0","397.25M","-0.41%"
"09.11.2021","12,180.7","12,240.5","12,245.8","12,150.4","383.65M","-0.54%"
"08.11.2021","12,246.7","12,262.9","12,298.4","12,214.8","452.03M","0.09%"
"05.11.2021","12,236.1","12,207.3","12,288.8","12,192.6","545.95M","0.63%"
"04.11.2021","12,160.0","12,169.4","12,220.1","12,135.8","444.32M","-0.31%"
"03.11.2021","12,198.4","12,159.7","12,203.7","12,097.1","410.22M","-0.25%"
"02.11.2021","12,229.4","11,982.0","12,454.6","11,972.5","456.91M","2.17%"
"01.11.2021","11,969.1","11,969.2","11,994.1","11,928.9","431.92M","0.28%"
"29.10.2021","11,936.3","11,917.0","11,953.3","11,895.6","542.05M","0.05%"
"28.10.2021","11,930.7","11,840.8","11,933.0","11,840.8","465.07M","0.84%"
"27.10.2021","11,831.4","11,959.7","11,972.7","11,831.2","479.48M","-0.91%"
"26.10.2021","11,940.0","11,931.3","12,002.8","11,931.3","460.44M","0.19%"
"25.10.2021","11,917.2","11,891.3","11,949.6","11,879.7","390.35M","0.23%"
