"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.11.2021","16,684.0","16,624.9","16,794.6","16,601.7","-","0.36%"
"26.11.2021","16,624.9","17,036.8","17,036.9","16,546.6","-","-2.42%"
"24.11.2021","17,036.8","17,007.9","17,046.1","16,911.8","-","0.17%"
"23.11.2021","17,007.9","16,945.8","17,026.5","16,887.8","-","0.37%"
"22.11.2021","16,945.8","16,974.0","17,082.7","16,945.7","-","-0.17%"
"19.11.2021","16,974.0","17,117.7","17,117.7","16,965.8","-","-0.84%"
"18.11.2021","17,117.7","17,192.7","17,192.7","17,049.1","-","-0.44%"
"17.11.2021","17,192.7","17,302.8","17,302.8","17,159.0","-","-0.64%"
"16.11.2021","17,302.8","17,285.6","17,364.3","17,285.6","-","0.10%"
"15.11.2021","17,285.6","17,297.7","17,336.8","17,267.9","-","-0.07%"
"12.11.2021","17,297.7","17,220.4","17,312.9","17,220.4","-","0.45%"
"11.11.2021","17,220.4","17,192.0","17,246.9","17,192.0","-","0.17%"
"10.11.2021","17,192.0","17,286.9","17,322.7","17,145.0","-","-0.55%"
"09.11.2021","17,286.9","17,310.5","17,323.1","17,217.9","-","-0.14%"
"08.11.2021","17,310.5","17,242.4","17,341.8","17,242.4","-","0.40%"
"05.11.2021","17,242.4","17,168.9","17,306.2","17,168.9","-","0.43%"
"04.11.2021","17,168.9","17,209.8","17,230.8","17,110.5","-","-0.24%"
"03.11.2021","17,209.8","17,115.2","17,220.6","17,082.0","-","0.55%"
"02.11.2021","17,116.3","17,131.1","17,131.1","17,078.8","-","-0.09%"
"01.11.2021","17,131.1","17,016.4","17,138.4","17,016.4","-","0.67%"
"29.10.2021","17,016.4","17,077.0","17,077.0","16,977.5","-","-0.35%"
"28.10.2021","17,077.0","16,920.4","17,077.5","16,920.4","-","0.93%"
"27.10.2021","16,920.4","17,145.2","17,145.2","16,920.4","-","-1.31%"
"26.10.2021","17,145.2","17,169.1","17,228.3","17,131.4","-","-0.14%"
"25.10.2021","17,169.1","17,122.2","17,192.2","17,096.2","-","0.27%"
"22.10.2021","17,122.2","17,083.2","17,157.4","17,031.7","-","0.23%"
"21.10.2021","17,083.2","17,099.2","17,099.2","17,005.4","-","-0.09%"
"20.10.2021","17,099.2","16,988.2","17,111.2","16,988.2","-","0.65%"
"19.10.2021","16,988.2","16,862.0","16,995.8","16,862.0","-","0.75%"
"18.10.2021","16,862.0","16,871.7","16,891.5","16,776.6","-","-0.06%"
"15.10.2021","16,871.7","16,744.3","16,914.7","16,744.3","-","0.76%"
"14.10.2021","16,744.3","16,513.2","16,750.4","16,513.2","-","1.40%"
"13.10.2021","16,513.2","16,441.8","16,538.4","16,359.3","-","0.43%"
"12.10.2021","16,441.8","16,430.1","16,515.5","16,411.5","-","0.07%"
"11.10.2021","16,430.1","16,517.2","16,633.5","16,429.1","-","-0.53%"
"08.10.2021","16,517.2","16,511.8","16,585.1","16,505.1","-","0.03%"
"07.10.2021","16,511.8","16,338.5","16,601.7","16,338.5","-","1.06%"
"06.10.2021","16,338.5","16,327.1","16,342.2","16,096.8","-","0.07%"
"05.10.2021","16,327.1","16,198.6","16,411.4","16,198.6","-","0.79%"
"04.10.2021","16,198.6","16,323.7","16,368.5","16,127.2","-","-0.77%"
"01.10.2021","16,323.7","16,144.9","16,398.3","16,094.5","-","1.11%"
"30.09.2021","16,144.9","16,344.9","16,408.0","16,144.3","-","-1.22%"
"29.09.2021","16,344.9","16,328.8","16,417.5","16,318.2","-","0.10%"
"28.09.2021","16,328.8","16,599.8","16,599.8","16,303.9","-","-1.63%"
"27.09.2021","16,599.8","16,539.2","16,658.5","16,539.2","-","0.37%"
"24.09.2021","16,539.2","16,567.3","16,582.5","16,502.7","-","-0.17%"
"23.09.2021","16,567.3","16,352.2","16,627.0","16,352.2","-","1.32%"
"22.09.2021","16,352.2","16,184.5","16,456.4","16,184.5","-","1.04%"
"21.09.2021","16,184.5","16,168.2","16,325.3","16,154.5","-","0.10%"
