"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.11.2021","3,411.0","3,394.0","3,463.4","3,394.0","-","0.50%"
"26.11.2021","3,394.0","3,510.9","3,510.9","3,370.9","-","-3.33%"
"24.11.2021","3,510.9","3,461.3","3,515.5","3,444.6","-","1.43%"
"23.11.2021","3,461.3","3,417.0","3,468.1","3,417.0","-","1.30%"
"22.11.2021","3,417.0","3,435.2","3,458.6","3,396.0","-","-0.53%"
"19.11.2021","3,435.2","3,508.8","3,508.8","3,411.2","-","-2.10%"
"18.11.2021","3,508.8","3,506.6","3,517.3","3,471.1","-","0.06%"
"17.11.2021","3,506.6","3,537.9","3,550.7","3,485.4","-","-0.89%"
"16.11.2021","3,537.9","3,510.5","3,561.6","3,504.6","-","0.78%"
"15.11.2021","3,510.5","3,512.7","3,536.6","3,483.1","-","-0.06%"
"12.11.2021","3,512.7","3,482.6","3,538.3","3,470.8","-","0.87%"
"11.11.2021","3,482.6","3,483.8","3,508.4","3,481.6","-","-0.04%"
"10.11.2021","3,483.8","3,529.8","3,538.6","3,457.5","-","-1.31%"
"09.11.2021","3,529.8","3,520.6","3,547.8","3,497.6","-","0.26%"
"08.11.2021","3,520.6","3,504.2","3,550.5","3,504.2","-","0.47%"
"05.11.2021","3,504.2","3,425.7","3,507.4","3,425.7","-","2.29%"
"04.11.2021","3,425.7","3,451.2","3,488.3","3,415.2","-","-0.74%"
"03.11.2021","3,451.2","3,471.1","3,471.1","3,438.7","-","-0.57%"
"02.11.2021","3,471.1","3,494.6","3,494.6","3,442.7","-","-0.67%"
"01.11.2021","3,494.6","3,411.6","3,504.6","3,411.6","-","2.43%"
"29.10.2021","3,411.6","3,507.4","3,507.4","3,405.6","-","-2.73%"
"28.10.2021","3,507.4","3,480.1","3,512.3","3,449.6","-","0.78%"
"27.10.2021","3,480.1","3,526.6","3,532.6","3,470.3","-","-1.32%"
"26.10.2021","3,526.6","3,533.5","3,555.8","3,520.0","-","-0.19%"
"25.10.2021","3,533.5","3,463.4","3,541.4","3,463.4","-","2.03%"
"22.10.2021","3,463.4","3,445.0","3,482.1","3,428.4","-","0.53%"
"21.10.2021","3,445.0","3,453.4","3,459.2","3,418.6","-","-0.24%"
"20.10.2021","3,453.4","3,466.7","3,482.1","3,441.2","-","-0.38%"
"19.10.2021","3,466.7","3,490.8","3,502.9","3,462.6","-","-0.69%"
"18.10.2021","3,490.8","3,486.4","3,531.6","3,481.3","-","0.13%"
"15.10.2021","3,486.4","3,442.4","3,508.1","3,442.4","-","1.28%"
"14.10.2021","3,442.4","3,418.4","3,466.0","3,418.4","-","0.70%"
"13.10.2021","3,418.4","3,379.4","3,419.1","3,357.8","-","1.16%"
"12.10.2021","3,379.4","3,358.9","3,403.9","3,350.4","-","0.61%"
"11.10.2021","3,358.9","3,339.8","3,401.9","3,339.8","-","0.57%"
"08.10.2021","3,339.8","3,323.6","3,372.9","3,323.6","-","0.49%"
"07.10.2021","3,323.6","3,277.0","3,337.0","3,273.9","-","1.42%"
"06.10.2021","3,277.0","3,306.2","3,306.2","3,235.9","-","-0.88%"
"05.10.2021","3,306.2","3,320.2","3,343.7","3,292.0","-","-0.42%"
"04.10.2021","3,320.2","3,265.1","3,350.7","3,265.1","-","1.69%"
"01.10.2021","3,265.1","3,230.8","3,269.8","3,227.4","-","1.06%"
"30.09.2021","3,230.8","3,221.3","3,270.4","3,209.0","-","0.30%"
"29.09.2021","3,221.3","3,193.1","3,227.5","3,187.4","-","0.88%"
"28.09.2021","3,193.1","3,198.0","3,230.3","3,184.5","-","-0.15%"
"27.09.2021","3,198.0","3,152.8","3,225.1","3,152.8","-","1.43%"
"24.09.2021","3,152.8","3,140.4","3,157.1","3,120.1","-","0.40%"
"23.09.2021","3,140.4","3,071.3","3,142.9","3,071.3","-","2.25%"
"22.09.2021","3,071.3","3,003.8","3,097.4","3,003.8","-","2.25%"
"21.09.2021","3,003.8","2,944.6","3,016.1","2,944.6","-","2.01%"
"20.09.2021","2,944.6","3,008.4","3,008.4","2,914.2","-","-2.12%"
"17.09.2021","3,008.4","3,075.0","3,080.4","3,002.7","-","-2.16%"
"16.09.2021","3,075.0","3,118.3","3,118.3","3,067.3","-","-1.39%"
"15.09.2021","3,118.3","3,041.5","3,124.1","3,041.5","-","2.53%"
"14.09.2021","3,041.5","3,104.6","3,127.9","3,034.7","-","-2.03%"
"13.09.2021","3,104.6","3,029.4","3,115.4","3,029.4","-","2.48%"
"10.09.2021","3,029.4","3,030.3","3,068.9","3,027.7","-","-0.03%"
"09.09.2021","3,030.3","3,062.3","3,062.3","3,025.4","-","-1.04%"
"08.09.2021","3,062.3","3,055.8","3,088.9","3,043.4","-","0.21%"
"07.09.2021","3,055.8","3,087.4","3,087.4","3,052.2","-","-1.02%"
"03.09.2021","3,087.4","3,080.9","3,095.4","3,077.4","-","0.21%"
"02.09.2021","3,080.9","3,028.1","3,090.3","3,028.1","-","1.74%"
"01.09.2021","3,028.1","3,024.8","3,031.2","2,997.8","-","0.11%"
"31.08.2021","3,024.8","3,039.3","3,039.3","3,014.9","-","-0.48%"
"30.08.2021","3,039.3","3,031.4","3,066.3","3,028.8","-","0.26%"
"27.08.2021","3,031.4","2,969.0","3,032.3","2,969.0","-","2.10%"
"26.08.2021","2,969.0","2,988.3","3,000.7","2,967.9","-","-0.64%"
"25.08.2021","2,988.3","2,969.9","2,995.1","2,956.3","-","0.62%"
"24.08.2021","2,969.9","2,941.2","2,977.1","2,941.2","-","0.98%"
"23.08.2021","2,941.2","2,871.2","2,950.1","2,871.2","-","2.44%"
"20.08.2021","2,871.2","2,856.5","2,879.4","2,845.6","-","0.52%"
"19.08.2021","2,856.5","2,930.1","2,930.1","2,834.5","-","-2.51%"
"18.08.2021","2,930.1","2,954.4","2,963.9","2,927.6","-","-0.82%"
"17.08.2021","2,954.4","2,972.6","2,980.4","2,936.1","-","-0.61%"
"16.08.2021","2,972.6","3,034.8","3,034.8","2,965.3","-","-2.05%"
"13.08.2021","3,034.8","3,048.9","3,060.7","3,032.9","-","-0.46%"
"12.08.2021","3,048.9","3,046.5","3,049.2","3,015.1","-","0.08%"
"11.08.2021","3,046.5","3,040.6","3,049.6","3,027.0","-","0.20%"
"10.08.2021","3,040.6","2,973.9","3,040.6","2,973.9","-","2.24%"
"09.08.2021","2,973.9","2,999.0","2,999.0","2,956.0","-","-0.84%"
"06.08.2021","2,999.0","3,004.0","3,011.4","2,985.8","-","-0.17%"
"05.08.2021","3,004.0","2,976.7","3,017.9","2,963.1","-","0.92%"
"04.08.2021","2,976.7","3,041.6","3,041.6","2,974.9","-","-2.13%"
"03.08.2021","3,041.6","3,013.7","3,050.9","2,988.6","-","0.93%"
"02.08.2021","3,013.7","3,017.5","3,057.6","3,010.6","-","-0.13%"
"30.07.2021","3,017.5","3,065.6","3,072.8","3,017.5","-","-1.57%"
