"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.11.2021","2,151.2","2,138.8","2,158.5","2,138.8","-","1.36%"
"26.11.2021","2,122.4","2,153.5","2,153.5","2,118.4","-","-2.23%"
"25.11.2021","2,170.8","2,170.8","2,170.8","2,170.8","-","0.00%"
"24.11.2021","2,170.8","2,159.3","2,171.4","2,150.4","-","0.21%"
"23.11.2021","2,166.2","2,161.0","2,169.8","2,148.8","-","0.13%"
"22.11.2021","2,163.5","2,180.0","2,196.3","2,162.9","-","-0.39%"
"19.11.2021","2,171.9","2,174.7","2,179.7","2,168.6","-","-0.01%"
"18.11.2021","2,172.1","2,165.0","2,174.8","2,154.5","-","0.62%"
"17.11.2021","2,158.8","2,162.3","2,166.6","2,156.8","-","-0.15%"
"16.11.2021","2,162.0","2,151.5","2,168.0","2,151.5","-","0.37%"
"15.11.2021","2,154.1","2,158.8","2,163.9","2,148.8","-","-0.07%"
"12.11.2021","2,155.5","2,142.4","2,158.1","2,138.6","-","0.75%"
"11.11.2021","2,139.5","2,147.5","2,149.9","2,139.0","-","-0.04%"
"10.11.2021","2,140.3","2,149.0","2,158.5","2,131.7","-","-0.78%"
"09.11.2021","2,157.2","2,172.7","2,173.8","2,150.8","-","-0.57%"
"08.11.2021","2,169.4","2,170.9","2,178.1","2,166.8","-","-0.04%"
"05.11.2021","2,170.4","2,173.5","2,180.4","2,163.8","-","0.35%"
"04.11.2021","2,162.9","2,150.8","2,163.3","2,150.4","-","0.65%"
"03.11.2021","2,148.8","2,134.1","2,150.3","2,128.9","-","0.80%"
"02.11.2021","2,131.8","2,121.6","2,136.0","2,121.6","-","0.41%"
"01.11.2021","2,123.1","2,124.2","2,128.7","2,114.0","-","0.05%"
"29.10.2021","2,121.9","2,101.2","2,123.0","2,098.9","-","0.32%"
"28.10.2021","2,115.1","2,102.7","2,115.8","2,102.7","-","0.92%"
"27.10.2021","2,095.7","2,101.8","2,110.2","2,095.7","-","-0.11%"
"26.10.2021","2,098.1","2,096.9","2,109.1","2,093.8","-","0.36%"
"25.10.2021","2,090.6","2,083.3","2,093.7","2,074.7","-","0.57%"
"22.10.2021","2,078.7","2,082.3","2,085.8","2,069.1","-","-0.35%"
"21.10.2021","2,085.9","2,078.8","2,086.9","2,076.7","-","0.23%"
"20.10.2021","2,081.1","2,079.7","2,084.9","2,075.1","-","0.18%"
"19.10.2021","2,077.3","2,066.4","2,077.7","2,066.4","-","0.73%"
"18.10.2021","2,062.2","2,050.3","2,063.4","2,042.0","-","0.42%"
"15.10.2021","2,053.5","2,037.7","2,054.2","2,037.7","-","0.93%"
"14.10.2021","2,034.7","2,012.9","2,035.6","2,012.9","-","1.64%"
"13.10.2021","2,001.9","2,000.0","2,005.3","1,987.2","-","0.30%"
"12.10.2021","1,995.9","2,007.9","2,009.9","1,992.4","-","-0.42%"
"11.10.2021","2,004.3","2,015.1","2,030.0","2,004.0","-","-0.73%"
"08.10.2021","2,019.1","2,025.0","2,027.4","2,016.3","-","-0.13%"
"07.10.2021","2,021.7","2,014.8","2,035.1","2,014.8","-","0.77%"
"06.10.2021","2,006.2","1,983.2","2,007.3","1,971.3","-","0.54%"
"05.10.2021","1,995.3","1,976.7","2,006.9","1,976.7","-","1.14%"
"04.10.2021","1,972.8","1,998.6","2,000.6","1,962.1","-","-1.45%"
"01.10.2021","2,001.9","1,981.8","2,008.9","1,970.0","-","1.23%"
"30.09.2021","1,977.5","2,003.7","2,010.6","1,976.8","-","-1.06%"
"29.09.2021","1,998.8","1,999.3","2,011.8","1,995.8","-","0.21%"
"28.09.2021","1,994.6","2,025.9","2,025.9","1,991.4","-","-2.14%"
"27.09.2021","2,038.1","2,036.4","2,042.6","2,032.9","-","-0.34%"
"24.09.2021","2,045.2","2,035.8","2,048.4","2,032.1","-","0.20%"
"23.09.2021","2,041.1","2,022.6","2,047.5","2,022.6","-","1.14%"
"22.09.2021","2,018.1","2,004.9","2,027.1","2,004.5","-","0.85%"
"21.09.2021","2,001.1","2,009.1","2,019.8","1,998.5","-","-0.01%"
"20.09.2021","2,001.2","2,024.4","2,024.4","1,976.9","-","-1.79%"
"17.09.2021","2,037.6","2,054.4","2,055.7","2,035.1","-","-0.92%"
"16.09.2021","2,056.5","2,057.7","2,061.6","2,041.0","-","-0.16%"
"15.09.2021","2,059.7","2,045.5","2,062.6","2,040.3","-","0.83%"
"14.09.2021","2,042.7","2,059.7","2,063.9","2,039.3","-","-0.58%"
"13.09.2021","2,054.7","2,056.2","2,066.1","2,044.0","-","0.28%"
"10.09.2021","2,048.9","2,072.0","2,078.9","2,048.3","-","-0.81%"
"09.09.2021","2,065.7","2,078.0","2,083.9","2,065.0","-","-0.58%"
"08.09.2021","2,077.7","2,081.1","2,081.2","2,068.3","-","-0.19%"
"07.09.2021","2,081.6","2,083.7","2,085.9","2,077.4","-","-0.06%"
"03.09.2021","2,082.8","2,080.2","2,085.3","2,074.2","-","0.04%"
"02.09.2021","2,081.9","2,083.9","2,088.5","2,076.5","-","0.13%"
"01.09.2021","2,079.3","2,082.1","2,088.0","2,078.1","-","0.01%"
"31.08.2021","2,079.2","2,083.6","2,084.3","2,076.3","-","-0.18%"
"30.08.2021","2,083.0","2,070.6","2,086.6","2,070.6","-","0.71%"
"27.08.2021","2,068.3","2,052.6","2,069.9","2,052.6","-","0.82%"
"26.08.2021","2,051.4","2,062.3","2,064.7","2,051.3","-","-0.55%"
"25.08.2021","2,062.7","2,063.0","2,065.2","2,060.0","-","0.08%"
"24.08.2021","2,061.0","2,061.1","2,065.3","2,059.0","-","0.08%"
"23.08.2021","2,059.3","2,044.5","2,064.3","2,044.5","-","0.87%"
"20.08.2021","2,041.5","2,026.4","2,042.8","2,024.3","-","0.91%"
"19.08.2021","2,023.0","2,010.5","2,029.8","2,004.5","-","0.21%"
"18.08.2021","2,018.7","2,037.6","2,044.9","2,017.3","-","-1.09%"
"17.08.2021","2,041.0","2,048.4","2,048.4","2,027.7","-","-0.75%"
"16.08.2021","2,056.4","2,047.2","2,056.7","2,031.8","-","0.33%"
"13.08.2021","2,049.5","2,047.1","2,049.7","2,046.1","-","0.20%"
"12.08.2021","2,045.4","2,035.0","2,045.8","2,031.5","-","0.49%"
"11.08.2021","2,035.5","2,034.7","2,039.6","2,032.3","-","0.18%"
"10.08.2021","2,031.9","2,031.9","2,036.3","2,027.0","-","0.09%"
"09.08.2021","2,030.0","2,033.2","2,035.0","2,027.5","-","-0.08%"
"06.08.2021","2,031.7","2,028.9","2,034.3","2,028.0","-","0.06%"
"05.08.2021","2,030.4","2,019.2","2,030.8","2,019.2","-","0.71%"
"04.08.2021","2,016.1","2,021.8","2,021.8","2,014.1","-","-0.41%"
"03.08.2021","2,024.3","2,011.5","2,024.7","2,002.7","-","0.78%"
"02.08.2021","2,008.7","2,017.1","2,022.9","2,007.5","-","-0.15%"
"30.07.2021","2,011.8","2,013.6","2,018.8","2,009.1","-","-0.80%"
